time,date,hour,precip [mm/day],KS_53719235 [m3/s]
0,2001-01-01,00:00:00.00,---,0.486143
1,2001-01-02,00:00:00.00,0.9,0.319249
2,2001-01-03,00:00:00.00,0.5,0.0762537
3,2001-01-04,00:00:00.00,0,0.00146104
4,2001-01-05,00:00:00.00,0,0.00218794
5,2001-01-06,00:00:00.00,6.1,0.00427047
6,2001-01-07,00:00:00.00,0.5,0.00854316
7,2001-01-08,00:00:00.00,0,0.00813172
8,2001-01-09,00:00:00.00,0,0.00604186
9,2001-01-10,00:00:00.00,0.6,0.00586191
10,2001-01-11,00:00:00.00,3.4,0.0070315
11,2001-01-12,00:00:00.00,0,0.00874553
12,2001-01-13,00:00:00.00,0,0.00776902
13,2001-01-14,00:00:00.00,0,0.00624813
14,2001-01-15,00:00:00.00,0,0.0057037
15,2001-01-16,00:00:00.00,0,0.00493205
16,2001-01-17,00:00:00.00,0,0.00439117
17,2001-01-18,00:00:00.00,0,0.00389064
18,2001-01-19,00:00:00.00,1.5,0.00343207
19,2001-01-20,00:00:00.00,0,0.00305898
20,2001-01-21,00:00:00.00,0,0.00269621
21,2001-01-22,00:00:00.00,0,0.00240123
22,2001-01-23,00:00:00.00,0,0.00242133
23,2001-01-24,00:00:00.00,1.2,0.00358837
24,2001-01-25,00:00:00.00,5.8,0.00758317
25,2001-01-26,00:00:00.00,2.8,0.0135977
26,2001-01-27,00:00:00.00,0,0.0150291
27,2001-01-28,00:00:00.00,0,0.0108563
28,2001-01-29,00:00:00.00,0,0.00848098
29,2001-01-30,00:00:00.00,0,0.00793007
30,2001-01-31,00:00:00.00,4.7,0.00671347
31,2001-02-01,00:00:00.00,2.4,0.00606689
32,2001-02-02,00:00:00.00,9.8,0.00532728
33,2001-02-03,00:00:00.00,5.7,0.00471411
34,2001-02-04,00:00:00.00,7,0.00420832
35,2001-02-05,00:00:00.00,9,0.00515736
36,2001-02-06,00:00:00.00,1.8,0.0275339
37,2001-02-07,00:00:00.00,0,0.0636843
38,2001-02-08,00:00:00.00,0,0.0668162
39,2001-02-09,00:00:00.00,0,0.0511055
40,2001-02-10,00:00:00.00,1,0.046684
41,2001-02-11,00:00:00.00,0,0.0443093
42,2001-02-12,00:00:00.00,0,0.0435186
43,2001-02-13,00:00:00.00,2.6,0.0463497
44,2001-02-14,00:00:00.00,0,0.0474584
45,2001-02-15,00:00:00.00,0,0.0411411
46,2001-02-16,00:00:00.00,0,0.0347671
47,2001-02-17,00:00:00.00,0,0.0319213
48,2001-02-18,00:00:00.00,1.8,0.0303834
49,2001-02-19,00:00:00.00,1.6,0.0330598
50,2001-02-20,00:00:00.00,1.2,0.0389564
51,2001-02-21,00:00:00.00,1.2,0.0420921
52,2001-02-22,00:00:00.00,3.4,0.047828
53,2001-02-23,00:00:00.00,26.6,0.10649
54,2001-02-24,00:00:00.00,10,0.181135
55,2001-02-25,00:00:00.00,0,0.162964
56,2001-02-26,00:00:00.00,0,0.119828
57,2001-02-27,00:00:00.00,0,0.111212
58,2001-02-28,00:00:00.00,0,0.0941331
59,2001-03-01,00:00:00.00,0,0.0834686
60,2001-03-02,00:00:00.00,0,0.0747131
61,2001-03-03,00:00:00.00,0,0.0652064
62,2001-03-04,00:00:00.00,11.5,0.0583699
63,2001-03-05,00:00:00.00,8.6,0.0801447
64,2001-03-06,00:00:00.00,1.1,0.121193
